sal_code_2021,name,state,population,suburb_area_sq_km,Median_rent_weekly_x,Median_rent_weekly_y,median_rent_weekly
SAL10210,Barraganyatti,NSW,150.0,68.91,310.0,310.0,310.0
SAL10211,Barragga Bay,NSW,91.0,3.87,242.0,242.0,242.0
SAL10212,Barratta (Nsw),NSW,12.0,989.41,0.0,0.0,0.0
SAL10213,Barren Grounds,NSW,0.0,23.96,0.0,0.0,0.0
SAL10214,Barrengarry,NSW,214.0,62.85,415.0,415.0,415.0
SAL10215,Barretts Creek,NSW,12.0,115.22,180.0,180.0,180.0
SAL10216,Barringella,NSW,30.0,58.73,300.0,300.0,300.0
SAL10217,Barrington (Nsw),NSW,394.0,87.86,270.0,270.0,270.0
SAL10218,Barrington Tops,NSW,0.0,426.33,0.0,0.0,0.0
SAL10219,Barry (Blayney - Nsw),NSW,153.0,53.92,250.0,250.0,250.0
SAL10220,Barry (Tamworth Regional - Nsw),NSW,0.0,133.63,0.0,0.0,0.0
SAL10221,Barwang,NSW,139.0,368.8,250.0,250.0,250.0
SAL10222,Baryulgil,NSW,20.0,1.69,0.0,0.0,0.0
SAL10223,Basin View,NSW,1583.0,10.54,360.0,360.0,360.0
SAL10224,Bass Hill,NSW,10230.0,4.3,450.0,450.0,450.0
SAL10225,Bassendean (Nsw),NSW,5.0,109.99,0.0,0.0,0.0
SAL10226,Batar Creek,NSW,93.0,35.7,0.0,0.0,0.0
SAL10227,Bateau Bay,NSW,12516.0,9.98,400.0,400.0,400.0
SAL10228,Batehaven,NSW,1911.0,3.89,320.0,320.0,320.0
SAL10229,Batemans Bay,NSW,1573.0,50.5,285.0,285.0,285.0
SAL10230,Bathampton,NSW,40.0,32.72,225.0,225.0,225.0
SAL10231,Bathurst,NSW,7001.0,8.47,300.0,300.0,300.0
SAL10232,Batlow,NSW,1270.0,252.8,180.0,180.0,180.0
SAL10233,Baulkham Hills,NSW,37415.0,19.8,520.0,520.0,520.0
SAL10234,Baw Baw (Nsw),NSW,271.0,81.73,405.0,405.0,405.0
SAL10235,Bawley Point,NSW,844.0,30.99,325.0,325.0,325.0
SAL10236,Baxters Ridge,NSW,0.0,140.0,0.0,0.0,0.0
SAL10237,Bayview (Nsw),NSW,3807.0,5.44,850.0,850.0,850.0
SAL10238,Beacon Hill,NSW,7814.0,4.19,730.0,730.0,730.0
SAL10239,Beaconsfield (Nsw),NSW,1172.0,0.22,650.0,650.0,650.0
SAL10240,Bean Creek,NSW,56.0,96.28,150.0,150.0,150.0
SAL10241,Bearbong,NSW,72.0,407.26,700.0,700.0,700.0
SAL10242,Beaumont (Nsw),NSW,117.0,25.34,250.0,250.0,250.0
SAL10243,Beaumont Hills,NSW,9041.0,4.62,650.0,650.0,650.0
SAL10244,Beckom,NSW,123.0,516.1,105.0,105.0,105.0
SAL10245,Bective,NSW,194.0,181.67,305.0,305.0,305.0
SAL10246,Bectric,NSW,53.0,215.03,200.0,200.0,200.0
SAL10247,Bedgerabong,NSW,127.0,196.22,250.0,250.0,250.0
SAL10248,Beechwood,NSW,914.0,13.67,368.0,368.0,368.0
SAL10249,Beecroft,NSW,10291.0,7.42,590.0,590.0,590.0
SAL10250,Beecroft Peninsula,NSW,0.0,69.65,0.0,0.0,0.0
SAL10251,Beelbangera,NSW,358.0,31.33,250.0,250.0,250.0
SAL10252,Beemunnel,NSW,34.0,19.69,0.0,0.0,0.0
SAL10253,Bega,NSW,5013.0,48.56,320.0,320.0,320.0
SAL10254,Beggan Beggan,NSW,128.0,332.77,175.0,175.0,175.0
SAL10255,Belanglo,NSW,22.0,91.05,0.0,0.0,0.0
SAL10256,Belbora,NSW,123.0,142.7,300.0,300.0,300.0
SAL10257,Belfield,NSW,6555.0,2.59,460.0,460.0,460.0
